content,score,at
"susah buat di chat adminya, harusnya ada sistem pelayanan cs di aplikasi nya, mana kalo di chat di ig jarang di bales, di email jarang di bales, kalo ada keluhan genting dari customer gimana?",1,11/06/2022 10:56
Mantap kali lazissss,5,11/06/2022 06:05
"Enaknya pake live.on adalah kita bisa nabung kuota sampai 1 TB, walaupun harganya rada mahal tapi ga masalah untuk saya. Paling saran buat live.on: Pertama, harap masalah sinyal diperbaiki. Sesekali koneksi internet-nya lost padahal sinyalnya full. Kedua, berilah beberapa potongan harga paket untuk yang sudah berlangganan. 🗿",5,11/06/2022 02:20
Pengiriman paket SIM lama tidak sesuai dengan pengiriman,1,11/06/2022 01:08
🥰🥰😍😍🥰🥰,5,11/06/2022 00:53
"gajelas jaringanya, kuota masih banyak tapi cuma bisa wa, ig dll gabisa",1,10/06/2022 20:40
"Masa aktif masih lama,kuota masih banyak tetapi tidak bisa internetan sama sekali,rugi saya make kartu ini,di suru menghubungi lewat gmail gaada jawaban sekalinya di jawab di suru ubah APN dll pas di coba gabisa,pas di tanya lagi jawabannya masih sama hadeh...rugi rugi",1,10/06/2022 19:55
Kasih pilihan paket murah lah jangan mahal semua,3,10/06/2022 17:30
"NGEBUG BELI PAKET 25GB PAS DIAKTIFKAN DI APLIKASI TERTERA 70GB TAPI PEMAKAIAN TETEP 25GB, JADINYA GABISA MELIHAT/KIRA KIRA SISA KUOTA BERAPA. SAMA BELI YG CASHBACK STREAM 100K KUOTA STREAM PERBULANNYA GAMASUK, TOLONG DIPERBAIKI LAH",2,10/06/2022 15:26
"kecewa, tdk bisa di regristrasi, keterangan kartu sim tdk valid & sim card tdk dibeli",1,10/06/2022 15:07
"Entah kenapa kuota masih 40 GB tidak bisa di pakai internet, hanya bisa chat whatsapp, padahal di keterangan paket, 24 jam tanpa ada batasan. Ada yang bisa bantu jawab? Buat devloper nya plis, mohon dan tolong, kasih deskripsi yang sesuai, jangan memberi keterangan palsu. Miris si sekelas perusahaan XL kaya gini",1,10/06/2022 15:06
Sinyalnya jelekkkkk bangettt. Padahal kuota banyak bgt tapi lemot pas dipakai😭😭,2,10/06/2022 12:55
Nyesel Beli internet ngak bisa di pakai lemot parah,1,10/06/2022 12:38
padahal sebelum pembaruan sisa paket masih 50 gb setelah di perbarui paket 100gb yang ter rol cuman 15 gb,1,10/06/2022 12:37
Sangat bagus ok signal kuat,4,10/06/2022 04:00
"Simple. Akan lebih baik kalau ada sisa penggunaan add-on kuota. Edit: akhirnya sinyalnya stabil di 4G. Kuota gede, no bagi2 club. Bisa rollover ke bulan berikutnya. Tquu",5,10/06/2022 03:00
"Jaringan tidak stabil,paket tidak sesuai deskripsi",1,10/06/2022 02:59
Mantaaapppppp,5,09/06/2022 18:33
Mantap,5,09/06/2022 14:32
jaringan 4g+ dipake maen game ping 100+ LELET 🤡,1,09/06/2022 14:20
"Bagi calon pengguna baru live.on , yg mau install aplikasinya, silahkan di baca keluhan² temen² semua, itu nyata, terjadi juga sama saya.. jadi pertimbangin lagi",1,09/06/2022 13:47
Kalo setiap mau perbarui kuota ada promonya langsung muncul bakal make ini terus.,5,09/06/2022 12:49
Hallo devloper saya ingin memberi keluhan terhadap sinyal Live.On kemarin masih bagus lancar dan tidak ada hambatan Lag dan kenapa sekarang sinyal nya Lag padahal paket nya masih 42GB,1,09/06/2022 12:13
Mantap,5,09/06/2022 11:39
Pemakaian di bulan ke tiga ini. Jaringan suka ilang²an Njiir. Udah kek jelangkung aja ni jaringannya ngentod...,1,09/06/2022 11:11
Keren bgt ... internet yg ga pernah hangus ... mantab,5,09/06/2022 05:46
"Sinyal bagus, paket murah, sering dapet diskon juga. Mantep deh pokoknya hehe",5,09/06/2022 05:06
Mantap,5,09/06/2022 03:12
Very good,5,09/06/2022 01:46
"Dasar pembohong kalian semua! Saya sempet ragu buat beli kartu perdana Live.on karena lihat komentar kalian semua yg ngasih rating jelek. Pas saya pake, ternyata kartu Live.on ini jaringannya bagus banget woy!!! Pake download juga cepet banget (2-4 Mb/s). Pake nonton youtube juga lancar banget tuh! Dasar gak punya otak ya kalian!!! Kalian yg bodoh, kok malah nyalahin providernya!!!",5,08/06/2022 22:26
Secara kecepatan bagus dan sinyalnya bagus,5,08/06/2022 15:34
"Awal pertama pakai live on lancar jaya ada kali 6 bulanan ,di bulan juni ini saya beli paket data 100gb 150k ,dn berhasil di paketkan tpi ga bisa koneksi ke internet padahal status dilayar 4g ditambah full bar signal nya ,okk saya pindahin ke hp satunya . ternyata sama aja tetep ga bisa internetan .saya kira hp saya APNnya bermasalah ternyata kartu ini dn pihak live.on lama sekali menanggapi ini. ke gerai XL pun ga nerima pdhal masih 1 naungn loh. jujur kecewa",1,08/06/2022 15:20
Oke,4,08/06/2022 12:56
Mantap kak,5,08/06/2022 12:12
Semoga dapet code promo..... Amin,5,08/06/2022 10:50
Baru beli kartu susah di aktivasi sudah compalin 2x24 jam masih tidak bisa sudah kirim email tidak ada balasan sama sekali,1,08/06/2022 08:53
"Di luar ruangan kecepatanya bagus,pas masuk didalem ruangan agak menurun",4,08/06/2022 06:00
Pokok e mantappp,5,08/06/2022 05:43
Beli kartu perdana tiga buah mau aktifin hingga saat ini belum bisa. Hampir seminggu tidak ada solusi disuruh nunggu terus. Parahhhh,1,08/06/2022 03:40
bagus banged,5,08/06/2022 00:52
buat main game moba ampun sering drop nangis dah.. buat streaming ok..jdi bukan buat gamer ya,4,08/06/2022 00:23
mantap 👍,5,07/06/2022 23:21
Jos,5,07/06/2022 22:13
"bukan di perbaiki makin parah aja nih, perhitungan data ga jelas katanya rollover tapi ga bisa di pake",1,07/06/2022 19:52
Setelah nyoba sekitar 2 minggu. Sinyal lumayan oke di dalam atau luar ruangan. Cuma harganya agak mahal. Masa aktif juga cuma sebulan. nga spt beberapa Operator lain agak panjang masa aktifnya. Paket data juga kurang kompetitif dibanding sebelah si byxx dari telkxxsel. Perlu banyak peningkatan sih.,3,07/06/2022 15:05
Good,5,07/06/2022 14:20
aplikasi nya susah dibuka,1,07/06/2022 12:08
Sangat bagus,5,07/06/2022 08:22
mending yg sebelah,2,07/06/2022 04:40
"Gais, untuk pelanggan live on yg sinyal nya susah,, coba di pengaturan jaringan pilih pencarian manual, terus pilih jaringan live on, terus reset,, itu satu2 nya solusinya aku jg sering ngalamin sinyal full 4g+ tp ngga bisa di apa2, itu solusinya gais,, tp kadang2 kambuh lg, tp jarang kumat nya,, semoga bisa di benerin sama live on nya,,sayang sekalai provider sekeren live on harus banyak masalah jaringan, karna efek paket murah dan rolovernya🤭🤭🤭🤭🤭🤭🤭🤭🤭",5,07/06/2022 03:12
Kuatanya Booos makin banyak dan irit Heran saya..ini lancar buanget internitan..pakai live on...,5,07/06/2022 02:23
"Sukses buat liveon, singnal dahsyat, kecepatan nya nge GASSS..., Kalau buat para gamer sejati,,, blom bisa sih, latensi masih GAWAT buat data transfer DATA LUMAYAN DEHH...",5,07/06/2022 01:19
"Kuota murah, sisanya bisa masuk ke masa aktif berikutnya... Kereeen... Sarannya, perlu tambahan variasi pilihan paket kuota...",5,06/06/2022 23:36
Perbaiki lah aplikasinya sering log out sendiri kalau bisa via email juga bisa masuk,1,06/06/2022 22:46
"Live on mantappppp bangettttt tiada tandinggggg, pokoe josssss, silahkan buktikan kawannnn !!!!!!!!!!",5,06/06/2022 21:33
Udah percaya sama live on,5,06/06/2022 15:17
H1A8D78F JOIN LINK INI FREE DISKON SEMOGA BERKAH,5,06/06/2022 15:09
Sangat luar biasa 👎,1,06/06/2022 14:08
Mantappp,5,06/06/2022 13:58
"Sekarang sinyal memuaskan, thx live. On",4,06/06/2022 12:35
"-chat cs gaada respon sama sekali kek K0NT0L -Nerima OTP buat login apk nya aja gabisa JANC0K -jaringan sering ilang sendiri TEMP3K Tidak rekomen sama sekali paket mahal jaringan lemot Lebih baik Pake by.U yg bener"" provider digital Chat cs langsung di respon",1,06/06/2022 11:55
4 Bintang dulu kalau bisa kasih seperti yg ada 10mbps unlimited 30 hari,4,06/06/2022 10:14
"Kuotanya gede sih tapi signal ternyata lebih jelek ketimbang Axis/XL apalagi kalo maen game Moba, padahal game Moba biasa aja tapi sering no signal, atau signal merah parah abis sih apalagi menjelang sore-malam dah lemot banget, + tulisan 4G buka aplikasi live.On juga lama wkwkwk",1,06/06/2022 10:03
Kuota masih banyak 40gb tapi lemot parah seperti pake quota emergensi saja.,1,06/06/2022 09:05
"Kode sms otp 6 digit sulit mendapatkan nya , sudah kontak ke ustomer service di sirih beberapa kali resend sampe sekarang juga belum dapat. Sepertinya live on belum siap ni buat bersaing dengan provider lainya .. sangat disayang kan 🤣👎",1,06/06/2022 04:38
Paket memuaskan..kuota gak ada habisnya,5,06/06/2022 03:04
Nice tolong jangan lemot,5,06/06/2022 01:51
Sya harap bisa dibedakan antara kuota utama dn kuota streaming..,4,06/06/2022 00:40
Murah berkualitas,5,06/06/2022 00:23
Mantab internet ga putus,5,05/06/2022 23:10
"Tolong diberi keterangan lebih detail terkait pemakaian kuota pada UI aplikasi, sehingga kita bisa lebih tau kuota apa saja yang terpakai maupun yang tersisa. Terimakasih",4,05/06/2022 22:48
Sangat direkomendasikan buat yg gilak makai kuota,5,05/06/2022 17:19
"Kenapa sekarang sering sekali loss sinyalx ya, harusx kalo ada perbaikan ato maintenance customer selalu dirugikan tanpa ada pemberitahuan terlebih dahulu 👎👎 provider hanya mencari keuntungan pelanggan yang selalu dirugikan",1,05/06/2022 16:59
"Sim card paling membagongkan, mau verifikasi otp aja panjang x lebar, gimana mau banyak pelanggan haduh parah",1,05/06/2022 13:23
Kartu cacat sinyal lelet,1,05/06/2022 12:58
Lumayan irit banyak bonus nya,5,05/06/2022 12:28
Paket kuota besar oke,5,05/06/2022 11:46
Lemot aplgi buat game,1,05/06/2022 09:29
joss... sinyal bagus kuota murah,5,05/06/2022 09:15
Amazing,5,05/06/2022 03:15
"Bener sih kuota roll over, tp buat perpanjangan ny gd yg murah minimal 80rb cuma 25gb all + 10gb yg ga jelas bisa buat apa? Katany g dibagi"". Dulu salah beli yg kuota murahny ternyata yg murahny g bs roll over, ga baca dulu sih dan kuota yg murahny udh g diadain lg. Trs kuota roll overny jg kl kita g beli paket lg hangus hangus juga. Sama keterangan sisa kuota all sama kuota yg dibagi"" ny g dijelasin cm kelihatan ny kuota msh byk tp cm bs buka web tertentu. Sy balik lg ke operator sebelah 🙏🏻",1,04/06/2022 18:49
Ampass bgt jaringan,1,04/06/2022 17:41
Sinyal stabil.mantap,5,04/06/2022 17:23
"tidak ada solusi untuk internet yg lemot..wa saja pending..😂 ini itu sudah dilakukan sesuai instruksi, tp tak ada hasil..☺",1,04/06/2022 13:08
Aplikasi canggih tp IT nya msh oon... ga bisa dipisah mana kuota utama mana kuota streaming,1,04/06/2022 12:55
jaringna buruk paket murah,1,04/06/2022 12:38
"Jaringan sampah, baru jg make 2 hari tp sangat mengecewakan. Jaringan putus2 gak stabil. Gw saranin jgn make provider ini klo buat main game. Jaringan gak stabil akan kerasa klo dipake buat main game online, klo buat app lain gak akan kerasa. Bye",1,04/06/2022 10:23
"Harga paket murah dapat kuota besar, rekomended dehh.",5,04/06/2022 07:56
Jangan beli kartu sim ini nggak bisa aktivasi kartu sim kala nggak percaya coba aja,1,04/06/2022 06:21
Buat yg mau daftar gk usah ajak temen percuma. Data gk bisa di rollover.. Dari kemudian hari kecewa. Ckp ane yg alami. Dri data 600gb. Hilang setelah di aktifin beli paket lainya,1,04/06/2022 04:31
Simpel jelas👍,5,04/06/2022 04:05
Goodjob,5,03/06/2022 19:41
Kecewa banget jaringan nya buruk. Provider paling buruk yg pernah saya coba,1,03/06/2022 18:51
"Udah sekian kali saya compalin tapi tidak pernah dapat jawaban dari customer care  baik dari email maupun survey bahkan di PLAY STORE pun saya beri ratinng kecil tapi tidak ada jawaban masalah koneksi jaringan yang parah, jaringan bar penuh tapi kecepatan ny kecil.  BUKA YOUTUBE BUFFERING GAME LAG DAN SELALU TERPUTUS JARINGAN SOSMED LAMBAT BAHKAN WA PUN SERING KE PENDING sudah coba pindah lokasi. INI LIVE ON PUNYA CUSTOMER CARE GA?  KOK GA ADA TANGGAPAN YAH KUOTA BANYAK PERCUMA KALO GA GUNA",1,03/06/2022 17:28
"Keren, murah, kenceng. Banyak bonusnya",5,03/06/2022 11:44
"Sesuai kebutuhan, lbh hemat dr yg lain",5,03/06/2022 11:07
Very recommended for now. You can get 100gb with roll-over option for only IDR75.000,5,03/06/2022 10:30
si ribet,2,03/06/2022 08:22
"Kartu *s* kesel banget,proses aktivasi bisa 24 jam,anfmdoenhja pangen nerkata kasar",1,03/06/2022 07:31
"Live.On menghadirkan Fitur unggulan Satu kuota besar tanpa terbagi-bagi, Data Rollover, paketnya bervariasi dengan besaran kuota, harga dan penawarannya terjangkau juga banyak Bonus dan Reward menarik, Pokoknya Mantap Banget👍👍👍",5,03/06/2022 06:43
Siyal lelet kecepatan download dibawah 100kb ampas,1,03/06/2022 06:07
"Mohon ditambah pilihan kuotanya, jangan hanya kartu baru yang bisa beli kuota di bawah harga 50ribu untuk 30 hari Dan juga data jaringan hilang muncul hilang muncul, ngeselin",2,03/06/2022 05:33
"User interface buruk, pilihan paket kurang variatif, paket yg di keluarkan di pembelian kartu perdana tidak dikeluarkan lagi di menu paket, paket mahal smua diatas 50rb tdk ccok buat kalangan menengah kebawah",1,03/06/2022 05:27
Apk tulul,1,02/06/2022 23:11
"Good banget, anti ribet ribet",5,02/06/2022 20:08
"2 bulan pemakaian live on lancar, namun setelah bulan ketiga, kecepatan upload dan download mulai lambat/lemot nggak rekomen dengan provider ini",1,02/06/2022 13:30
"pelayanan buruk, aktifasi gagal mulu",1,02/06/2022 12:29
"Bagus, cuman kurang banyak pilihan paket nya, dan belum ada yg unlimited juga",5,02/06/2022 11:09
"Lelet sangat, mahal banget",1,02/06/2022 09:53
Mantul,5,02/06/2022 02:38
Mahal. Gaada pqket yv seribuqn,5,01/06/2022 22:41
Tidak hangus,5,01/06/2022 22:06
"gak usah pake kartu data live on,, jaringan lemot,, pantes harga murah kouta gede,, jangan beli gw saranin,, pasti nyesell nanti nya",1,01/06/2022 18:53
"Kuota masih banyak ada 30gban cuma bisa buka youtube, cs susah dihubungi",1,01/06/2022 14:10
Dimohon untuk pihak live on sediakan juga paket yang lainnya dong masa cuman itu itu aja dari dulu paketnya hadeh,2,01/06/2022 12:01
"Sumpah jaringanya sekarang sangat lemot, beda sama pas awal² muncul, dulu nnton yt aja masih sangat stabil dengan kualitas 1080p bahkan masih kuat dengan kualitas 4k, sekarang kualitas 140p juga sering ngelag, buka sosmed juga sama nge-lag, so good bye liveon.",1,01/06/2022 11:39
Operator paling ribet yg pernah saya temuin Aktivasi aja ribet banget,1,01/06/2022 10:23
"Internet lancar, download cepat, buat sosmed ig, fb, wa dan lainnya lancar, game online lancar, tkp cikupa kab tangerang",4,01/06/2022 10:21
Kuotanya irit banget sih meskipun jaringannya 4g+ biarpun plonga plongo alias bengong. Yang penting logonya 4g+. Kereen 👍,5,01/06/2022 06:32
"Lebih boros make ini,awalnya sih enak2 aja sinyal oke lancar, di aplikasi tertera data masih banyak tapi selalu gak bisa dipake ,maksa make pun lemotnya minta ampun.payah",1,01/06/2022 06:02
"Kartu berhasil aktivitasi malam, sinyal sampai siang tidak muncul. Bagaimana bisa digunakan? Lapor live chat ribet. Balik lagi lah ke Tri.",1,01/06/2022 05:14
Jaringannya mantap betol......!!!,5,01/06/2022 03:25
"Sinyal live.on lemot, terpaksa kembali ke provider sebelumnya.",1,01/06/2022 00:19
👍👍👍👍,5,01/06/2022 00:06
"Keluhan saya sama pengguna lainnya,, awal pemakaian 2bln bagus banget lancar.. ingin ada niatan penggunaan permanen ehh masuk bulan ke 4, penggunaan internet nya malah lemot down, Pd hal kuota msh 70Gb penggunaan juga msh di lokasi wilayah yg sama Pd hal di kota Surabaya. Sya sengkali koneksi Tdk konsisten Pd hal harga yg dibayar sama",1,31/05/2022 16:33
Gk bisa move onn sumpah,5,31/05/2022 16:01
sinyal lemah,1,31/05/2022 11:43
Nice,5,31/05/2022 10:19
Pendaftara sim ribet masukin no pesanan tetap gk bisa diaktifkan,1,31/05/2022 08:08
"Cs lambat, susah aktivasi",2,31/05/2022 06:24
Mantap,5,31/05/2022 06:11
Mantap..!!,5,31/05/2022 03:49
"Provider embel embel digitalmemudahlan semua pengguna, tapi aktivasi sulit, malah kebalikan wkwkwk.....jangan beli daripada nyesel.... Thanks provider lipeon",1,31/05/2022 03:45
Jangan pernah pake xl live on kuotanya gede tapi palsu kuota nggak jelas mending pake yang jelas jelas aja xl👎👎👎👎,1,31/05/2022 02:48
Beli perdana 100 gb +1 gb harga 152 rb..tp setelah diaktivkan cm dapat 75 gb yg 25 gb lagi ga ada..dapet bonus tp ga bisa di klaim..dr 75 gb kuota hanya bisa di pake 2 gb sisa nya ga bisa di pake sama sekali karna tidak conecting..sudah komplein by chat di shopee dan email tp tidak di tanggapi sama sekali..ga tau harus komplain kemana dan ini pengalaman buruk memakai live on..padahal tinggal di kota tangerang bukan di pelosok desa..,1,31/05/2022 02:18
Live. On kece...,4,31/05/2022 01:23
bagus,5,31/05/2022 00:58
Satu bulan di pakai lancar gx ada kendala. Dua hari mau habis masa paketnya sy beli paket di aplikasi live on nya. Pembayaran berhasil tulisan di aplikasi nya ternyata pembelian paket berhasil tp tidak bertambah. Al hasil sy kehilangan uang sy untuk pembelian paket. Sy coba e-mail ke live on nya samapai 2 hari gx ada tanggapan apapun padahal sy sudah kirim bukti pembelian paket melalui transfer bank tetap gx ada solusi. Sy merasa tertipu dgn aplikasi ini. Ini awal dan akhir sy pakai aplikasi ini,1,30/05/2022 23:54
"Bintang 1 dulu, tolong pihak XL jaringannya dibenerin... Awal2 memang lancar setelah beberapa bulan jaringan jd lambat banget padahal sinyal udah lock di 4G sama 4G+, klo tidak ada tindakan bakalan banyak yg beralih ke penyedia layanan yg lain",1,30/05/2022 21:17
"Susah benar aktivasi sim card baru, nomor nik dan kk sudah benar sesuai kia dan kk. Apakah usia anak jadi masalah?, kurang penjelasan ( usia untuk regertrasi kartu baru)",1,30/05/2022 19:32
"sistem pembelian nya bagus, praktis via online, hanya utk jaringan internet nya, saya lama langganan pakai XL yg biasa, sinyal nya aman sentosa, pakai LiveOn yang juga produk XL tapi sinyal internet nya sulit sekali, dibuat WhatsApp an aja ga bisa, baru coba beli perdana nya, kalo dibawa ke Surabaya pusat baru cukup lancar, semoga kedepannya bisa lebih baik",3,30/05/2022 16:53
Mantab abissss,5,30/05/2022 15:12
Nyesel aku beli live on sinyalnya nggak keluar jadi nggak bisa buat internetan padahal hp sony xz2 yang notabenenya bisa 4G,1,30/05/2022 14:20
Gak layak pakek nih kartu gak usah dkembangkan lagi,1,30/05/2022 13:35
Nice,5,30/05/2022 13:27
"Udah beli kartu tidak bisa di resgistrasi, malah muncul SIM BELUM DIBELI, PADAHAL SUDAH JELAS2 BELI DI ONLINE",2,30/05/2022 11:37
"Paket Power max = sinyal parah max. Percuma jg kuota gede tp kalo sinyal lemot minta ampun. Sisa kuota 300GB jg bakal jadi ampas klo gak bisa dipake. Buka web lama banget, buka youtube apalagi. Padahal saya di kota besar, masa sinyal masih susah aja? Dua kali komplain jg gak ada perbaikan. Masih lemot-lemot aja.",1,30/05/2022 11:17
Bagus banget apk nya bisa aktifkan kuata apa saja kalian harus download ini kalo tidak ok terikasih yang buat apk nya,5,30/05/2022 11:13
Parah si sinyalnya makin kesini makin lemot,1,30/05/2022 09:55
Bagus,5,30/05/2022 05:55
Coba dongg jumlah sisa kuotanya di pisah antara kuota utama dan kuota lainya agak bingung sihh kalo gak di pisahh ginii tolong yahh,3,30/05/2022 05:34
"Pilihan bijak bagi yang menyukai data besar untuk segala kegiatan di social media anda di gadget. Tingkatkan kualitas jaringannya, tambah lagi promo-promo menarik lainnya. Live On kereeennn... 👍🥰",5,30/05/2022 00:53
"korupsi masa aktif paket ini mah, gk sampai 30 hari percuma perbaharui paket",1,29/05/2022 16:01
Sakjose sejauh ini,5,29/05/2022 15:02
"Awal nya si bagus ya, mau ntn apa pun lancar tapi sekarang kenapa tiap ntn muter"" mulu",3,29/05/2022 05:40
Bagus,5,29/05/2022 05:05
good,5,28/05/2022 16:50
Mengecewakan sekali sudah 1bln bayar kartu tak diantar2 ke rmh padhl di status email paket sudah diantar tp tak kunjung sampe-sampe #abalabal,1,28/05/2022 13:51
"Parah beud gak guna beli paket banyak"" 😌",1,28/05/2022 13:46
Sinyal live on semakin hari semakin lemot..nyari sinyak agak susah..apalagi hr ini..lemotnyaaaaaa.. buka youtube aj lama..buka aplikasi e-commerce jg harus buka tutup aplikasi beberapa kali br bisa kebuka.. tolong permasalahan susah sinyal di perbaiki kembali agar tidak jadi masalah seperti ini di kemudian hari. Terima kasih,1,28/05/2022 12:07
Mantap,5,28/05/2022 11:35
Kuota masih banyak tapi tidak bisa dipakai,1,28/05/2022 09:15
Ok mantap,5,28/05/2022 09:13
Seminggu terakhir ini buruk jaringan live on. Bahkan turun ke GPRS. Lok melawai jaksel.,3,28/05/2022 07:43
"Jadi ga yakin beli nih barang, kalau ambil untung ga segan""",1,28/05/2022 07:16
"ini yg saya kok ga bisa aktivasi ya ? tiap klick aktivasi, ga muncul terus",3,28/05/2022 07:00
Tolong perbarui lg aplkasi nya.. ga bisa buat registrasi... menyebalkan,3,28/05/2022 06:02
Untuk aktivasi kartunya lemot banget nih aplikasi,2,28/05/2022 05:30
Sinyal makin buruk percuma paket gede,1,28/05/2022 05:01
"hallo kak kok data gue dari semalem gabisa di pake ya sampai saat ini? Pdhl bru beli kouta recharge loh terus di notednya jg ada tulisan pembayaraan masih di proses. Padahal via email dan notice pun sudah masuk dan sudah bisa di pakai, ini malah gabisa connecting padahal signal full dan 4G lagi. Gimana ini solusinya?",1,28/05/2022 04:57
"Sakit ini kartu, mati lampu. pas idup jaringannya respawn 1 hari kemudian hadeh. ga bisa dijadiin kartu utama sama sekali",1,28/05/2022 04:51
Kuota cepat harga sangat hemat,5,28/05/2022 04:13
Bagus,5,28/05/2022 03:38
Ga bisa aktivasi network eror mulu,3,28/05/2022 03:27
Murah dan kuota anti hangus,5,28/05/2022 00:51
Sudah pakai dua bulan. Untuk sinyal di Jakarta ok. Tapi sinyal di daerah kurang baik. Yang lebih menyakitkan. Malam ini ga bisa perpanjang paket karena sinyal putus. Akhirnya paket data sebesar 158gb hangus. Selamat tinggal live on,1,27/05/2022 23:50
Makasih live on... byk ngebantu aq...,5,27/05/2022 23:37
Parahh live on mau aktivasi aja susah nya minta ampunnn ga dapet otp email nya parah nyesel beli live on,2,27/05/2022 19:32
"Kayak film, SUSAH SINYAL",1,27/05/2022 18:44
"Sering Tiap buka aplikasi Live On disuruh login menggunakan nomor hp dan memasukkan kode otp yg dikirim. Masalahnya kartu saya letak di modem, sehingga ribet harus buka kartu di modem dan memasukkan ke hp. Kenapa tidak ada pilihan login menggunakan email seperti aplikasi lain, jadi ha repot pindah pindah kartu. Update donk min. Penting buat saya .",5,27/05/2022 18:31
"Aku kemaren udah bikin raporan,tapi tetap aja lelet,percuma aku pakai jaringan kayak gitu,mahal2 tapi setiap jam 6 mlm jaringan lelet bangt,aku kemaren ud bikin raporan tetap aja gak ditanggapin,itu masih ada kuota 300gb buat kalian pakai aja,menyesal pakai jaringan ini,sangat kecewa bangat,bagi yang blm pakai lebih baek pikir2 dl,2 3 bulan bagus tapi ntar selanjut nya,jelek bangt",1,27/05/2022 11:51
Mantapppp,5,27/05/2022 10:29
mantap,5,27/05/2022 08:12
Mantap,5,27/05/2022 07:41
Makasih sdh respon komplenan saya🙏,5,27/05/2022 03:36
"Csnya bales live chat lama, udh antri panjang giliran udh antriannya dibalessnya lama",1,27/05/2022 02:55
live on keren🔥,5,27/05/2022 02:06
"Paket data yang saya beli tidak masuk masuk, saya sudah menghibungi kontak yang tersedia dan juga menghubungi melalui email tetapi tetap tidak ada respon dari pihak live on nya",1,27/05/2022 01:44
"Pagi ini saya top up data, biaya sudah saya transfer. Bukti transfer jga ada TPi ko data belum nambah nambah ya. Mungkin ada penjelasannya ??",1,27/05/2022 00:05
Ini bagaimana untuk cek history pembelian paket ya? Kok ga ada menu history.. saya perbaharui paket tapi ga masuk,4,27/05/2022 00:03
Mantab kouta besar harga minimal,5,26/05/2022 22:40
Jaringan dan kuotanya no tipu-tipu...,5,26/05/2022 16:51
"great apps, sukses selalu...",5,26/05/2022 15:38
Tingkat kan jaringan buat games biar g lancar terutama di daerah ku Lainnya sdh oke,5,26/05/2022 08:24
"Akhir"" ini sinyal sering ilang full 4g tapi gabisa di pake data masih baru beli",1,26/05/2022 07:58
"Saya tidak masalah dengan kuota. Tapi yang bermasalah adalah sinyal Live On nya. Saya sudah seting Apn Live On , tapi sinyal saya berasa H+. Katanya sinyal kuat dan terjangkau kepelosok. Saya menggunakan Modem Advan Cpe Start",1,26/05/2022 07:42
Bagus dan hemat mantap,5,26/05/2022 05:12
Bagus,5,26/05/2022 04:56
Apakah saya saja yang buka olshop & playstore harus pake vpn biar lancar? Buka web sama youtube kok cepet yah tanpa vpn,2,26/05/2022 00:07
👍👍👍,5,25/05/2022 23:33
Saya sangat kecewa kemarin lusa saya beli paket data di live.on menggunakan ovo dan paket datanya sampai sekarang belum saya terima saya sudah menghubungi emai dan tidak ada respon sama sekali saya sangat kecewa saya tidak akan menggunakan live on lagi saya merasa ditipu. Untuk pengguna atau yang baru mau mencoba live.on hati-hati live.on tidak bisa di andalkan. sungguh sangat MENGECEWAKAN,1,25/05/2022 22:45
Ukuran pake kurang besar,5,25/05/2022 17:15
Lelet,1,25/05/2022 16:21
Sinyal 4G full tapi internet lemot parah. Berasa ditipu sama bar sinyal. Pilihan beli data di aplikasi terlalu sedikit dan ga worth it.,1,25/05/2022 16:10
Mantap,5,25/05/2022 14:32
Makin parah aja sinyalnya.. Diperbaiki dong bosqyuuuu...! Percuma kuota banyak tp ga guna.. Setelah isi kuota malah jd lemot bgd kaya dibatasi kecepatannya...!!!!,1,25/05/2022 14:29
Love live on,5,25/05/2022 11:27
Kecepatan jos,5,25/05/2022 09:31
"Tolong dong nih kuota masih 66 gb masa aktif masih 20 hari tapi kenapa udah 2 hari sinyal 0,01 m/s padahal sinyal 4g. Mau buat main game dan sosial media lemot banget.. tolong dong diperbaiki sistemnya. Lama lama kalo masih begini terus customer bakal pindah ke provider lain",1,25/05/2022 08:10
Live on mantap jiwa😎😎😎,5,25/05/2022 06:14
"Live on mantap, karna daerah saya XL kenceng",5,25/05/2022 05:26
"Ok enough for this time! Gk mau lanjutin lagi, gk ada perbaikan kualitas internetnya juga ngapain di pertahanin, mau beli kuota yg harga 100k keatas atau kebawah gak ngaruh tetep gitu2 aja, ROLLOVER hanya sebuah angka toh kecepatan internet malah makin jelek, Buka web, download, upload semua lelet hufttt.. Goodbye!",1,25/05/2022 05:03
Good apps,5,25/05/2022 00:10
Sinyal & koneksi nya makin parah tiap hari,1,24/05/2022 15:56
Ternyata sinyalnya tidak sampai daerah saya,2,24/05/2022 13:48
Kenapa jaringan semakin buruk? Harap perbaiki!,2,24/05/2022 12:29
"Masuk aplikasi aja susah...scan barcode ada setengah jam ga ke detect, masukin manual minta no pesanan...semua nomor d masukin ga valid terus...t*l*l....nyesel beli kartu ini...ga liat review yg lain terlebih dahulu jd nya menyesal...ribet",1,24/05/2022 11:57
Bagus,5,24/05/2022 11:15
"Maaf untuk beberapa hari terakhir, ntah kenapa koneksi internet nya jadi terasa lemot padahal sebelumnya cepat kalau untuk donwload",2,24/05/2022 08:36
Bener² bebas khawatir kehabisa kuota ...,5,24/05/2022 08:09
